F.A. Hayek: Dos ensayos sobre economía y moral,"Mansuy, Daniel; Petterson, Matías",Filosofía,
Placas de la poesía,"Transtromer, Tomás ",Poesía,
Cul de Sac,"González Barnert, Ernesto ",Poesía,
Tres viajes,"Mouat, Francisco ",Narrativa,
El comienzo de la primavera,"Pron, Patricio ",Narrativa,
Extrañando a Kissinger,"Kerert, Etgar ",Narrativa,
"¿Y ahora qué? Disgresiones sobre derecho, poder y nueva Constitución","Squella, Agustín ",Ensayo,
Las secretas costumbres ,"Torres, Antonia ",Poesía,
Apache,"Gil, Antonio ",Narrativa,
Cardador,"Rojas, Natalia ",Poesía,
La liberación de las ranas,"Cabezudo Tovar, Eduardo ",Poesía,
Cartas a Dios desde un prostíbulo,"Elordi, Santiago ",Narrativa,
Encomienda,"Costa,Lucas ",Poesía,
Bouvard y Pécuchet,"Flaubert, Gustave ",Narrativa,*
Derechos de propiedad,"Podestá, Juan José ",Poesía,
Poetas chilenos contemporáneos,"Contreras, Gonzalo",Poesía,
Noches en la ciudad ,"Ramón, Emilio ",Narrativa,
Nueva narrativa nueva,"Torres Quezada, Rodrigo",Narrativa,
El otoño de las ansias ,"Rozas, Alejandro",Narrativa,
Labios ardientes,"Ramón, Emilio ",Novela,
Fieras,"Jofré, David ",Narrativa,
Y después amputar,"Cuchacovich, Jonathan",Narrativa,
El cristo gitano,"Cruz Valdivieso, Nicolás",Narrativa,
Las obras infames de Pancho Marambio,"Bryce Echenique, Alfredo",Narrativa,
Cuentos del Pácifico Sur,"Soria Galvarro, Yuri",Narrativa,
Algo más que esto,"Fuentes, Roberto ",Narrativa,
Romance del duende que me escribe las novelas,"Rivera Letelier, Hernán",Narrativa,
El nacimiento de una pasión continental: Historia de todos los clubes que jugaron la libertadores,"Fabbri, Alejandro",Ensayo (Historia),
El reparto del olvido,"Colil, Juan Ignacio",Narrativa,
Sontag: Vida y obra,"Moser, Benjamín",Narrativa,
La risa invisible,"Valenzuela, Guillermo ",Narrativa,
Rayuela,"Cortázar, Julio ",Narrativa,
Contra la inocencia,"Gumucio, Rafael ",Narrativa,
El cielo protector ,"Bowles, Paul",Novela,V
Libertad bajo palabra,"Paz, Octavio",Poesía,
El viento ligero en Parma,"Vila-Matas, Enrique",Narrativa,*
La hermandad de la uva,"Fante, John ",Narrativa,
La hormiga argentina ,"Calvino, Italo",Narrativa,
Poesía y cultura poética en Chile. Aporte críticos. Volumen 2,"Rojas, Waldo ",Ensayo,V
